step,parameter_norm_total,parameter_group_norm_decay,parameter_group_norm_no_decay,parameter_norm_blocks.0.attention,parameter_norm_blocks.0.layer_norm,parameter_norm_blocks.0.mlp,parameter_norm_blocks.1.attention,parameter_norm_blocks.1.layer_norm,parameter_norm_blocks.1.mlp,parameter_norm_position_embedding,parameter_norm_token_embedding,parameter_norm_unembedding,parameter_norm_final_norm
50,117.64741790563659,115.23794461838948,23.688205081696314,14.814142148343892,16.606518156145537,16.61842893044012,15.727157603603965,16.70977129041284,17.82274065970304,16.057783102472964,109.19577878750195,6.612637614524245,
100,117.54213389823552,114.8930492392144,24.814118518822756,15.88805764708364,17.166303881760435,17.80472125719229,18.46259664717488,17.733698721468784,23.678677049894343,15.526367613385045,106.82150710756154,9.17055142378743,
150,115.5840552157808,112.81039612485529,25.16919439072084,15.808953186449662,17.327111140237246,17.790387662102148,18.719101407965532,18.06826583982718,25.339141090465624,15.117382485410573,104.16135211640315,9.796048107726119,
200,113.0969946211383,110.23508633619065,25.28153343423573,15.513625278998035,17.37917389961285,17.47584677263546,18.45156399529412,18.17278986547477,25.395202712161364,14.7362249721106,101.5579189971908,9.799114937353915,
250,110.6232047411707,107.67451644958192,25.3710846152797,15.213038986744259,17.42182709999468,17.145546824058698,18.154064085328883,18.255018066496756,25.30152254741792,14.365656713599611,99.01640766325575,9.744905674647722,
300,108.19667408949338,105.16038665514411,25.452177953342904,14.916504099948481,17.46098517328952,16.816068481076837,17.85306361015795,18.328946541966246,25.157970697903075,14.004579423040123,96.53543400980324,9.670993307912882,
350,105.8240830274956,102.69881559078387,25.528216249092846,14.625899031035514,17.497974783270486,16.490857805255004,17.55440985641556,18.3979762525366,24.98862812124091,13.652617595564722,94.1133351861608,9.586652983401345,
400,103.5075099545919,100.29164359952723,25.600602358252253,14.341637234800755,17.533369757975887,16.171536641748883,17.259894785035186,18.463490503637065,24.803966462284,13.309481334342227,91.74872445458189,9.495918688441948,
450,101.24743603484814,97.9392182920804,25.67007643087353,14.063728336280786,17.56748544534328,15.858724717558099,16.9705738233791,18.526215981002924,24.609397105560454,12.974931758892938,89.44031407685961,9.400906216445703,
500,99.04346902858896,95.64105603627976,25.737077485259693,13.792249335421673,17.60052932128032,15.55282375939254,16.686824373422738,18.58654518070087,24.407875763732942,12.648726651098524,87.18672962020531,9.302869434972465,
550,96.8948644968247,93.39636190399212,25.80182840336226,13.527254220375914,17.63258362284203,15.253834622218935,16.408869874927017,18.64470843020403,24.200966963768142,12.330635005024428,84.9867451168089,9.202516668783641,
600,94.80054186426467,91.2040328559548,25.86439886345935,13.268457989711898,17.66363689743987,14.96149385731978,16.136525759364087,18.700811471226626,23.989573639577976,12.0204723578074,82.83915329706073,9.10032208736467,
650,92.75939994990951,89.06294289596136,25.924862232575098,13.01534257622418,17.693701013566237,14.675766191854985,15.869700246824165,18.754945902931752,23.77434988612559,11.718062325404384,80.74276846959864,8.996623186739974,
700,90.77024362023278,86.97187024724845,25.983281405014797,12.767762519823126,17.722806609718738,14.39652055422538,15.608261917440663,18.80717211019198,23.555798232134993,11.42322652466672,78.69630395264129,8.89168913429072,
750,88.83205434437298,84.92976805359828,26.03974610866302,12.52551593597331,17.75100805484351,14.123761367701354,15.352030280757429,18.857568326868346,23.33455881961612,11.135768006700282,76.69860523735295,8.785822712765084,
800,86.94386236459172,82.93563254094073,26.094368317840615,12.288554277281822,17.77836104218928,13.857211858545373,15.101000658066466,18.906241975223644,23.111178614768395,10.855499336812603,74.74857129547784,8.679322253338192,
850,85.1046729193878,80.9884520552795,26.147198442771536,12.056597285766406,17.804850674784603,13.596773788830673,14.85501145601165,18.953271561502756,22.88624796013806,10.58226217408593,72.84510472497305,8.572460588431344,
900,83.31354249015895,79.08725078159644,26.198342048083745,11.829511505716976,17.830524894521815,13.342375761565174,14.614025824399993,18.99875632586676,22.660426960676507,10.315883589956776,70.98706072731073,8.465501940710755,
